Task id,declarative,procedural,sub_tasks,procedural_ratio,declarative_ratio
0,0,1,1,1.0,0.0
1,2,0,2,0.0,1.0
2,0,1,1,1.0,0.0
3,0,1,1,1.0,0.0
4,2,1,3,0.3333333333333333,0.6666666666666666
5,1,0,1,0.0,1.0
6,0,1,1,1.0,0.0
7,0,1,1,1.0,0.0
8,2,1,3,0.3333333333333333,0.6666666666666666
9,2,0,2,0.0,1.0
10,2,1,3,0.3333333333333333,0.6666666666666666
11,1,2,3,0.6666666666666666,0.3333333333333333
12,1,0,1,0.0,1.0
13,0,1,1,1.0,0.0
14,0,1,1,1.0,0.0
15,1,2,3,0.6666666666666666,0.3333333333333333
16,1,0,1,0.0,1.0
17,0,1,1,1.0,0.0
18,1,0,1,0.0,1.0
19,1,0,1,0.0,1.0
20,0,1,1,1.0,0.0
21,1,1,2,0.5,0.5
22,0,1,1,1.0,0.0
23,1,4,5,0.8,0.2
24,0,1,1,1.0,0.0
25,0,2,2,1.0,0.0
26,1,1,2,0.5,0.5
27,1,1,2,0.5,0.5
28,0,1,1,1.0,0.0
29,0,1,1,1.0,0.0
30,2,0,2,0.0,1.0
31,1,1,2,0.5,0.5
32,0,1,1,1.0,0.0
33,0,3,3,1.0,0.0
34,1,1,2,0.5,0.5
35,2,0,2,0.0,1.0
36,1,0,1,0.0,1.0
37,1,0,1,0.0,1.0
38,1,0,1,0.0,1.0
39,1,0,1,0.0,1.0
40,1,0,1,0.0,1.0
41,0,1,1,1.0,0.0
42,1,0,1,0.0,1.0
43,0,1,1,1.0,0.0
44,1,0,1,0.0,1.0
45,2,0,2,0.0,1.0
46,1,2,3,0.6666666666666666,0.3333333333333333
47,0,1,1,1.0,0.0
48,1,0,1,0.0,1.0
49,1,0,1,0.0,1.0
