Task id,declarative,procedural,sub_tasks,procedural_ratio,declarative_ratio
0,0,1,1,1.0,0.0
1,0,1,1,1.0,0.0
2,0,1,1,1.0,0.0
3,0,1,1,1.0,0.0
4,0,1,1,1.0,0.0
5,1,0,1,0.0,1.0
6,1,0,1,0.0,1.0
7,1,0,1,0.0,1.0
8,1,0,1,0.0,1.0
9,1,0,1,0.0,1.0
10,1,1,2,0.5,0.5
11,1,0,1,0.0,1.0
12,1,0,1,0.0,1.0
13,0,1,1,1.0,0.0
14,0,1,1,1.0,0.0
15,0,1,1,1.0,0.0
16,0,2,2,1.0,0.0
17,0,1,1,1.0,0.0
18,0,2,2,1.0,0.0
19,0,2,2,1.0,0.0
20,1,0,1,0.0,1.0
21,1,1,2,0.5,0.5
22,0,3,3,1.0,0.0
23,0,3,3,1.0,0.0
24,1,1,2,0.5,0.5
25,1,0,1,0.0,1.0
26,2,0,2,0.0,1.0
27,0,2,2,1.0,0.0
28,0,2,2,1.0,0.0
29,0,2,2,1.0,0.0
30,1,3,4,0.75,0.25
31,1,2,3,0.6666666666666666,0.3333333333333333
32,0,3,3,1.0,0.0
33,2,1,3,0.3333333333333333,0.6666666666666666
34,1,1,2,0.5,0.5
35,1,2,3,0.6666666666666666,0.3333333333333333
36,2,1,3,0.3333333333333333,0.6666666666666666
37,1,0,1,0.0,1.0
38,1,1,2,0.5,0.5
39,0,1,1,1.0,0.0
40,0,1,1,1.0,0.0
41,0,2,2,1.0,0.0
42,1,1,2,0.5,0.5
43,0,1,1,1.0,0.0
44,0,1,1,1.0,0.0
45,0,1,1,1.0,0.0
46,0,1,1,1.0,0.0
47,1,1,2,0.5,0.5
48,0,1,1,1.0,0.0
49,0,1,1,1.0,0.0
50,1,0,1,0.0,1.0
51,0,1,1,1.0,0.0
52,1,0,1,0.0,1.0
53,0,1,1,1.0,0.0
54,1,2,3,0.6666666666666666,0.3333333333333333
55,0,1,1,1.0,0.0
57,1,0,1,0.0,1.0
58,0,1,1,1.0,0.0
59,0,2,2,1.0,0.0
60,0,1,1,1.0,0.0
61,0,1,1,1.0,0.0
62,0,1,1,1.0,0.0
63,1,1,2,0.5,0.5
64,0,1,1,1.0,0.0
65,1,0,1,0.0,1.0
66,1,1,2,0.5,0.5
69,1,1,2,0.5,0.5
70,0,1,1,1.0,0.0
71,0,2,2,1.0,0.0
72,0,1,1,1.0,0.0
73,0,1,1,1.0,0.0
74,0,2,2,1.0,0.0
75,0,1,1,1.0,0.0
76,0,2,2,1.0,0.0
77,1,0,1,0.0,1.0
78,1,2,3,0.6666666666666666,0.3333333333333333
79,0,1,1,1.0,0.0
80,1,0,1,0.0,1.0
81,1,1,2,0.5,0.5
82,1,0,1,0.0,1.0
83,0,1,1,1.0,0.0
84,0,1,1,1.0,0.0
85,1,1,2,0.5,0.5
86,2,1,3,0.3333333333333333,0.6666666666666666
87,0,2,2,1.0,0.0
88,1,1,2,0.5,0.5
89,0,1,1,1.0,0.0
90,1,1,2,0.5,0.5
91,0,1,1,1.0,0.0
92,0,1,1,1.0,0.0
93,0,1,1,1.0,0.0
94,0,1,1,1.0,0.0
95,0,1,1,1.0,0.0
96,1,0,1,0.0,1.0
97,1,1,2,0.5,0.5
98,1,1,2,0.5,0.5
99,1,1,2,0.5,0.5
100,1,2,3,0.6666666666666666,0.3333333333333333
101,0,3,3,1.0,0.0
102,0,3,3,1.0,0.0
103,0,3,3,1.0,0.0
104,2,2,4,0.5,0.5
105,2,2,4,0.5,0.5
106,0,1,1,1.0,0.0
107,0,1,1,1.0,0.0
108,1,1,2,0.5,0.5
109,0,1,1,1.0,0.0
110,1,2,3,0.6666666666666666,0.3333333333333333
111,2,1,3,0.3333333333333333,0.6666666666666666
112,1,2,3,0.6666666666666666,0.3333333333333333
113,1,2,3,0.6666666666666666,0.3333333333333333
114,0,1,1,1.0,0.0
