intent,category,count,task_ids
CANCEL_ORDER,declarative,9,"[31, 33, 34, 36, 50, 57, 63, 104, 105]"
CANCEL_ORDER,procedural,22,"[13, 16, 24, 28, 30, 31, 32, 32, 38, 54, 59, 66, 69, 74, 76, 78, 81, 88, 90, 99, 100, 114]"
EXCHANGE_ORDER,declarative,25,"[5, 6, 7, 8, 9, 20, 21, 30, 35, 52, 54, 65, 77, 78, 80, 85, 86, 96, 97, 99, 100, 108, 110, 111, 112]"
EXCHANGE_ORDER,procedural,31,"[0, 1, 18, 19, 23, 23, 27, 29, 29, 41, 44, 45, 49, 58, 64, 70, 74, 75, 93, 94, 95, 98, 100, 101, 102, 102, 103, 106, 107, 108, 113]"
MODIFY_ADDRESS,declarative,4,"[26, 86, 105, 111]"
MODIFY_ADDRESS,procedural,22,"[17, 22, 22, 33, 34, 39, 41, 42, 43, 59, 71, 78, 87, 87, 97, 102, 103, 104, 110, 110, 112, 113]"
MODIFY_ORDER,declarative,14,"[10, 24, 36, 37, 38, 42, 47, 66, 81, 88, 90, 98, 104, 113]"
MODIFY_ORDER,procedural,24,"[3, 4, 15, 21, 22, 23, 35, 36, 40, 60, 61, 62, 63, 71, 72, 76, 79, 85, 86, 101, 103, 105, 111, 112]"
RETURN_ORDER,declarative,7,"[11, 12, 25, 26, 33, 69, 82]"
RETURN_ORDER,procedural,30,"[2, 10, 14, 16, 18, 19, 27, 28, 30, 30, 31, 32, 35, 46, 47, 48, 51, 53, 54, 55, 73, 83, 84, 89, 91, 92, 101, 104, 105, 109]"
